job,0
Director,49048
Producer,43555
Writer,30431
Screenplay,25163
Editor,23800
Director of Photography,20659
Executive Producer,18866
Original Music Composer,15790
Casting,12635
Art Direction,11689
Costume Design,11023
Production Design,10536
Set Decoration,7548
Music,7340
Makeup Artist,6402
Story,5810
Novel,5128
Script Supervisor,4328
Cinematography,4210
Camera Operator,4128
Animation,3834
Sound Re-Recording Mixer,3680
Associate Producer,3595
Hairstylist,3539
Co-Producer,3189
Assistant Director,2978
Visual Effects Supervisor,2951
Still Photographer,2913
Sound Effects Editor,2779
Stunts,2753
Production Manager,2541
Foley,2392
Dialogue Editor,2365
Sound Designer,2363
Stunt Coordinator,2335
Music Editor,2269
Visual Effects Producer,2255
Gaffer,2195
Supervising Sound Editor,2173
Author,1949
Costume Supervisor,1923
Property Master,1869
Line Producer,1737
Special Effects,1717
Set Designer,1643
Set Costumer,1634
Location Manager,1624
Makeup Department Head,1514
Steadicam Operator,1461
Sound Editor,1456
Sound Recordist,1456
Art Department Coordinator,1391
Music Supervisor,1373
Assistant Art Director,1315
Sound,1290
Makeup Effects,1258
Special Effects Coordinator,1238
First Assistant Camera,1196
Construction Coordinator,1139
Unit Production Manager,1131
Visual Effects Editor,1117
Boom Operator,1098
Digital Intermediate,1053
Visual Effects,1019
First Assistant Editor,1014
Casting Associate,997
Production Coordinator,974
Visual Effects Coordinator,953
Characters,927
Key Hair Stylist,907
Production Supervisor,850
ADR & Dubbing,842
Adaptation,831
Storyboard,807
Theatre Play,798
Assistant Costume Designer,777
Post Production Supervisor,762
Grip,755
Orchestrator,725
Special Effects Supervisor,722
Transportation Coordinator,710
Thanks,684
Assistant Editor,672
Dialogue,651
First Assistant Director,606
Hair Department Head,602
Sound Mixer,602
Unit Publicist,601
Supervising Art Director,591
Electrician,591
Rigging Gaffer,583
Second Unit Cinematographer,570
CG Supervisor,564
Choreographer,536
Scenic Artist,533
Layout,530
Leadman,513
Original Story,505
Key Grip,502
Driver,494
Compositors,470
Production Accountant,452
