movie_id,genre_ids
862,"[16, 35, 10751]"
8844,"[12, 14, 10751]"
15602,"[10749, 35]"
31357,"[35, 18, 10749]"
11862,[35]
949,"[28, 80, 18, 53]"
11860,"[35, 10749]"
45325,"[28, 12, 18, 10751]"
9091,"[28, 12, 53]"
710,"[12, 28, 53]"
9087,"[35, 18, 10749]"
12110,"[35, 27]"
21032,"[10751, 16, 12]"
10858,"[36, 18]"
1408,"[28, 12]"
524,"[18, 80]"
4584,"[18, 10749]"
5,"[80, 35]"
9273,"[80, 35, 12]"
11517,"[28, 35, 80]"
8012,"[35, 53, 80]"
1710,"[18, 53]"
9691,"[28, 12, 80, 53]"
12665,"[18, 14, 878, 53]"
451,"[18, 10749]"
16420,[18]
9263,"[35, 18, 10751]"
17015,"[18, 10749]"
902,"[14, 878, 12]"
37557,"[18, 80]"
9909,"[18, 80]"
63,"[878, 53, 9648]"
78802,"[10749, 12]"
9598,"[14, 18, 35, 10751]"
47018,"[36, 18, 10749]"
687,[18]
139405,"[12, 36, 18, 10751]"
33689,"[35, 10751, 10749]"
9603,"[35, 18, 10749]"
34615,[18]
31174,"[18, 10752]"
11443,"[28, 80, 18, 36]"
35196,"[18, 10749]"
9312,"[28, 14]"
577,"[14, 18, 35, 53]"
11861,"[18, 10749]"
807,"[80, 9648, 53]"
10530,"[12, 16, 18, 10751]"
8391,"[18, 10749]"
629,"[18, 80, 53]"
117164,"[28, 53, 18]"
11448,"[35, 10749]"
49133,"[18, 10769]"
26441,"[28, 12, 35, 10751]"
97406,[18]
124057,[]
9089,"[35, 18, 10749]"
11010,"[35, 18, 10749]"
99040,"[53, 18, 9648]"
11359,"[12, 10751, 14]"
17182,"[18, 53]"
2054,"[10402, 18, 10751]"
10607,[35]
19760,"[35, 10749]"
9536,[35]
11525,"[28, 878]"
40628,"[18, 10751]"
4482,"[35, 10749]"
10634,[35]
755,"[27, 28, 53, 80]"
11859,"[28, 53, 10749]"
28387,"[35, 18, 10749]"
48750,"[18, 36]"
20927,"[18, 10749]"
36929,"[35, 10751]"
9102,"[27, 878]"
124626,[99]
27526,"[18, 53]"
9623,"[18, 53]"
46785,"[10751, 18]"
400,"[18, 80]"
880,"[18, 35]"
146599,"[10749, 18]"
188588,[]
8447,"[18, 10749]"
10534,"[28, 18]"
17414,"[12, 35, 10751]"
13997,[35]
2086,"[80, 18, 53]"
61548,[18]
9095,"[18, 27, 53, 10749]"
12158,"[35, 27, 10749]"
9283,"[35, 18, 10749]"
9208,"[28, 12, 18, 53]"
40154,[35]
406,[18]
45549,"[28, 12, 18, 878, 53]"
63076,[99]
11062,"[18, 53]"
13685,"[35, 80, 18]"
47475,"[35, 10749]"
2045,"[18, 9648, 878, 53]"
9614,[35]
688,"[18, 10749]"
11907,"[18, 35, 10751]"
10874,"[28, 35, 10402, 10751, 12]"
89333,[99]
96357,[80]
197,"[28, 18, 36, 10752]"
103,"[80, 18]"
33542,"[80, 28, 35, 53]"
43566,"[18, 53]"
71754,[18]
43612,[35]
51352,"[99, 18, 10769]"
16934,"[35, 80, 18]"
10324,"[35, 10749]"
78406,"[35, 18]"
55731,"[28, 12, 35, 18, 10751]"
32119,[18]
11066,"[35, 10749]"
11104,"[18, 35, 10749]"
37975,"[18, 10749]"
2074,"[35, 10749]"
27793,[14]
44284,[18]
290157,[]
110972,"[35, 10749]"
32622,"[35, 18]"
73067,"[18, 10749, 10752]"
11863,"[28, 53, 9648, 10749]"
55475,"[35, 18, 10749]"
124636,"[10402, 99]"
9101,[35]
123360,[99]
5757,[35]
39428,[18]
124639,[]
9302,"[18, 10749]"
11000,[35]
249882,[18]
16388,"[35, 18, 10749]"
9737,"[28, 35, 80, 53]"
30765,"[28, 12, 18, 10751]"
10474,"[18, 80]"
22279,"[10749, 18, 35]"
30157,"[80, 35, 18, 53]"
568,[18]
11780,[12]
34996,"[18, 27]"
414,"[28, 80, 14]"
649,"[18, 10749]"
1873,"[18, 53]"
5894,[35]
1775,"[28, 35]"
8839,"[14, 35, 10751]"
20649,"[9648, 80, 18]"
10329,"[28, 12, 18, 9648, 878, 53]"
8963,"[28, 53, 18]"
26564,[99]
8068,"[53, 28, 80]"
8512,"[18, 9648, 53]"
1572,"[28, 53]"
13552,"[28, 35, 80, 18]"
259209,"[18, 80]"
6520,"[28, 12, 18, 10749]"
9073,[12]
10428,"[28, 80, 53, 18]"
17447,"[35, 18, 10749]"
9886,"[12, 28, 18, 878, 53]"
9482,[878]
19326,"[35, 18]"
9344,"[18, 80]"
9071,"[18, 35]"
8973,"[9648, 27, 53]"
15730,"[35, 18]"
47608,"[18, 10751, 10749]"
2293,"[10749, 35]"
9070,"[28, 12, 878, 10751, 14]"
68274,"[35, 18, 10749]"
48787,"[53, 10769]"
34574,"[27, 53]"
1642,"[80, 18, 9648, 53, 28]"
11472,[35]
36196,[35]
11980,"[14, 27, 53]"
58372,"[14, 35, 18]"
32646,[18]
10533,"[18, 36, 10749]"
56088,[99]
10802,[18]
10149,"[35, 18]"
18402,[35]
